Track,Artist,RL,Release Date,Spotify Streams,TikTok Views,Shazam Counts,Explicit Track
La Jumpa,Arcï¿½ï¿½,,11/30/2022,"716,829,483","348,775,704","1,521,416",1
POPSTAR (feat. Drake),DJ Khaled,,7/17/2020,"712,664,065","247,613,041","3,773,076",1
Adicto (with Anuel AA & Ozuna),Tainy,,8/22/2019,"711,861,577","185,706,534","1,522,049",0
Bounce Back,Big Sean,,10/31/2016,"711,322,702","90,486,354","3,184,032",1
Lavender Haze,Taylor Swift,1,10/21/2022,"711,138,043","302,181,012","900,372",1
End of Beginning,Djo,,9/16/2022,"710,784,872","1,027,806,256","3,343,993",0
Sky,Playboi Carti,,12/25/2020,"710,319,373","363,975,031","1,537,393",1
OUT WEST (feat. Young Thug),JACKBOYS,,12/27/2019,"709,850,383","1,876,371,239","3,068,690",1
Lucky You (feat. Joyner Lucas),Eminem,,8/31/2018,"709,560,621","19,887,287","1,461,359",1
Mayores,Becky G,,7/14/2017,"709,559,454","258,215,382","3,920,423",0
Hola - Remix,Dalex,,11/1/2019,"708,615,717","62,179,337","1,526,884",0
Me Niego (feat. Ozuna & Wisin),Reik,,2/16/2018,"708,166,969","263,244,094","4,094,040",0
YEAH RIGHT,Joji,,5/8/2018,"707,551,397","186,530,347","1,508,168",1
After Party,Don Toliver,,3/13/2020,"706,711,575","1,092,802,231","1,400,011",1
Freestyle,Lil Baby,,12/1/2017,"706,489,684","109,113,917","2,193,924",1
Superhero (Heroes & Villains),Metro Boomin,,12/2/2022,"706,356,280","108,461,504","2,363,066",1
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,,2/24/2017,"706,158,416","233,419,445","7,039,145",0
Cï¿½ï¿½MO SE SIENTE - R,Jhay Cortez,,5/9/2020,"705,672,746","124,603,506","633,497",1
My Oh My (feat. DaBaby),Camila Cabello,,12/6/2019,"703,865,912","2,298,790,080","3,703,911",0
Losin Control,Russ,,7/28/2016,"703,411,626","108,839,324","2,062,658",1
I Love It (& Lil Pump),Kanye West,,9/6/2018,"703,089,599","154,119,835","2,965,820",1
idfc,blackbear,,10/26/2014,"703,008,289","1,202,118,262","7,920,489",1
Volando (Remix),Mora,,7/8/2021,"701,919,939","74,137,126","1,404,755",1
DDU-DU DDU-DU,BLACKPINK,,6/15/2018,"701,726,499","683,794,564","1,916,314",0
Moonlight,Kali Uchis,,2/24/2023,"701,558,859","1,114,531,877","3,204,314",0
Good For You,Selena Gomez,,6/22/2015,"701,552,110","155,603,416","5,461,184",0
Bandido,Myke Towers,,12/10/2020,"700,122,551","363,627,962","2,128,888",0
Where Have You Been,Rihanna,,1/1/2011,"699,439,249","824,607,003","7,929,856",0
Go Crazy,Young Thug,,5/5/2020,"699,336,080","42,692,526","5,747,453",1
Fire On Fire,Sam Smith,,12/21/2018,"697,834,321","1,362,132,192","4,296,434",0
La Bicicleta,Carlos Vives,,5/27/2016,"697,574,595","945,038,658","4,026,835",0
Skyfall - Full Length,Adele,,10/4/2012,"694,094,195","510,915,665","8,333,219",0
Antidote,Travis Scott,,7/28/2015,"693,552,475","100,004,969","3,758,685",1
Otro Trago,Sech,,4/18/2019,"693,061,510","81,046,643","3,179,632",1
Sprinter,Dave,,6/1/2023,"692,512,930","1,254,944,697","3,093,667",1
Toxic,BoyWithUke,,9/10/2021,"690,010,618","2,787,939,961","5,582,299",0
Mon Amour - Remix,zzoilo,,8/18/2021,"689,939,531","1,903,513,450","3,833,227",0
Anyone,Justin Bieber,,1/1/2021,"689,413,808","618,582,288","2,851,589",0
PERRO NEGRO,Bad Bunny,1,10/13/2023,"689,181,455","487,440,417","930,098",1
Feel This Moment,Pitbull,,1/1/2009,"687,212,492","388,454,078","10,452,280",0
Don't Be Shy,Tiï¿½ï¿,,8/12/2021,"686,371,118","2,298,614,237","4,879,555",1
Shoota (feat. Lil Uzi Vert),Playboi Carti,,5/11/2018,"686,323,132","343,926,725","964,881",1
Que Vuelvas,Carin Leon,,12/9/2022,"684,853,927","1,162,186,778","1,654,594",1
LADY GAGA,Peso Pluma,,6/22/2023,"684,204,777","1,207,597,707","1,567,605",1
El Azul,Junior H,,2/10/2023,"684,103,586","622,470,844","764,296",0
Bad Things (with Camila Cabello),mgk,,10/14/2016,"683,966,195","57,154,966","6,123,810",0
Teeth,5 Seconds of Summer,,8/21/2019,"683,247,723","561,046,941","3,637,003",0
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,,12/2/2022,"682,837,690","185,584,934","3,246,804",1
my ex's best friend (with blackbear),mgk,,8/7/2020,"682,383,223","8,328,967","2,439,849",1
Legends,Juice WRLD,,6/22/2018,"681,282,854","157,362,351","1,025,107",1
Doin' Time,Lana Del Rey,,8/30/2019,"680,707,791","184,535,006","4,213,597",1
Stir Fry,Migos,,12/20/2017,"680,431,508","249,432,966","2,298,173",1
Downtown,Anitta,,11/19/2017,"678,928,131","567,535,888","2,588,672",0
ORANGE SODA,Baby Keem,,7/16/2019,"676,690,653","203,414,980","1,211,769",1
Doja,Central Cee,,7/21/2022,"676,519,766","3,919,404,141","2,415,167",1
Here With Me,Marshmello,,3/8/2019,"676,451,716","89,270,256","3,705,612",0
Alors on danse,Stromae,,1/1/2009,"676,325,288","3,323,603,337","212,724",0
YKWIM?,Yot Club,,5/31/2019,"675,984,633","882,048,158","1,248,383",0
Standing Next to You,Jung Kook,,11/3/2023,"675,865,902","628,043,802","1,220,942",0
Permission to Dance,BTS,0,7/9/2021,"675,763,141","3,653,167,411","1,730,648",0
OMG,NewJeans,,1/2/2023,"675,591,495","2,441,354,214","702,234",0
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,1,2/14/2020,"675,082,623","318,296,586","3,195,912",1
Gata Only,FloyyMenor,,2/2/2024,"675,079,153","3,804,584,163","6,063,523",1
AMG,Natanael Cano,,11/24/2022,"674,025,091","1,294,755,383","967,374",1
La Jeepeta - Remix,Nio Garcia,,4/24/2020,"672,449,007","770,493,680","1,329,269",1
Ignorantes,Bad Bunny,1,2/14/2020,"671,572,185","26,125,487","959,604",1
Borderline,Tame Impala,,2/14/2020,"671,310,199","961,188,514","2,471,535",0
Lovin On Me,Jack Harlow,,11/10/2023,"670,665,438","2,938,686,633","4,517,131",1
Water,Tyla,0,7/28/2023,"670,376,179","3,932,956,380","6,447,136",0
Giant (with Rag'n'Bone Man),Calvin Harris,,1/11/2019,"670,319,557","29,055,589","32,382",0
At My Worst,Pink Sweat$,,7/17/2020,"670,245,273","1,736,930,175","2,977,114",0
On My Way,Alan Walker,,3/21/2019,"670,068,696","713,445,624","4,910,579",1
We Are Never Ever Getting Back Together,Taylor Swift,1,1/1/2012,"669,895,431","328,889,314","4,565,091",0
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,0,4/14/2017,"669,703,929","73,180","2,302,809",1
Is There Someone Else?,The Weeknd,1,2/5/2021,"669,099,980","101,980,300","1,352,593",0
Murder In My Mind,Kordhell,,1/21/2022,"668,285,368","2,877,613,437","2,597,736",1
PRC,Peso Pluma,,1/24/2023,"668,103,212","1,213","889,406",1
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofï¿½ï¿½a R,,2/16/2018,"667,508,675","8,778,203,835","8,994,016",0
Still Don't Know My Name,Labrinth,,10/4/2019,"666,107,710","5,185,694,852","4,161,911",0
Si No Estï¿½,iï¿½ï¿½igo quin,,9/22/2022,"665,716,137","2,653,383,273","5,502,998",0
Just Wanna Rock,Lil Uzi Vert,,10/17/2022,"665,519,026","5,516,142,056","3,245,670",1
Love Again,Dua Lipa,,3/27/2020,"665,464,734","296,169,569","6,223,371",0
Be Kind (with Halsey),Marshmello,,1/17/2020,"664,972,754","275,420,611","3,200,345",0
Unsteady,X Ambassadors,,1/28/2014,"663,939,688","215,796,397","5,432,642",0
Fantasias,Rauw Alejandro,,8/29/2019,"663,578,551","121,300,058","1,795,507",0
Try,P!nk,,1/1/2012,"662,971,898","689,599,858","4,968",0
Good Feeling,Flo Rida,,1/1/2011,"662,305,046","139,200,114","8,744,808",0
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,,9/6/2010,"662,257,934","1,511,650,572","4,225,673",1
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,4/9/2021,"662,057,533","451,630,379","659,091",0
Ahora Dice,Chris Jedi,,3/17/2017,"661,732,009","1,702,529","2,529,986",0
No Limit,G-Eazy,,9/7/2017,"660,710,453","50,335,494","5,468,546",1
Dura,Daddy Yankee,,1/18/2018,"659,555,409","493,591,477","4,187,626",0
FE!N,Travis Scott,,7/28/2023,"659,010,786","107,398,826","1,839,283",1
Robarte un Beso,Carlos Vives,,7/28/2017,"658,225,560","79,388,652","2,853,977",0
Midnight Rain,Taylor Swift,1,10/21/2022,"658,208,129","256,300,464","334,608",0
Swang,Rae Sremmurd,,8/12/2016,"658,051,344","172,756,577","3,394,835",1
Hasta Que Dios Diga,Anuel AA,,5/29/2020,"657,768,560","48,119,818","1,043,955",1
LOKERA,Rauw Alejandro,,7/25/2022,"656,416,971","1,039,707,434","1,394,827",1
All Around The World (La La La),R3HAB,,4/5/2019,"654,965,766","1,859,282,676","3,047,102",0
Tiroteo - Remix,Marc Seguï¿,,4/1/2021,"654,941,874","187,609,192","2,646,335",0
Tunnel Vision,Kodak Black,,2/17/2017,"654,828,389","86,649,600","3,010,996",1
Shut Down,BLACKPINK,,9/16/2022,"654,818,451","3,365,539,262","909,449",0
DUELE EL CORAZON,Enrique Iglesias,,1/1/2016,"654,612,558","57,898,629","9,176,132",0
Plug Walk,Rich The Kid,,2/8/2018,"653,490,628","314,775,951","1,896,071",1
Runnin,21 Savage,,10/2/2020,"653,352,641","81,321,613","1,299,108",1
snowfall,ýýneheart,,1/14/2022,"652,949,750","10,888,392,002","1,852,974",0
Hymn For The Weekend - Seeb Remix,Coldplay,,12/4/2015,"652,636,187","176,024,075","2,288,631",0
Pure Cocaine,Lil Baby,,11/30/2018,"652,559,944","62,837,382","1,456,448",1
Leave Me Alone,Flipp Dinero,,3/14/2018,"651,863,663","318,020,837","3,263,766",1
Traicionera,Sebastian Yatra,,6/24/2016,"650,511,999","60,797,733","2,233,388",0
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,,4/25/2019,"650,003,788","1,556,374,953","2,791,949",1
La Diabla,Xavi,,12/2/2023,"649,404,552","10,603,563","1,380,069",0
Go Fuck Yourself,Two Feet,,7/29/2016,"649,191,183","1,557,145,950","7,233,385",1
Gucci Gang,Lil Pump,,8/31/2017,"648,757,330","243,585,831","2,724,063",1
Suge,DaBaby,,3/1/2019,"647,501,734","435,082,308","2,919,131",1
Botella Tras Botella,Gera MX,,4/23/2021,"647,496,971","396,552,302","2,239,738",0
BESO,ROSALï¿½,,3/24/2023,"647,201,484","1,792,090,770","1,589,528",0
Up,Cardi B,,2/4/2021,"646,916,214","6,912,025,468","3,173,352",1
YOSEMITE,Travis Scott,,8/3/2018,"646,744,185","25,055,075","1,564,987",1
Girl On Fire,Alicia Keys,,1/1/2012,"646,295,324","1,264,756,176","5,809,958",0
You Proof,Morgan Wallen,,5/13/2022,"644,437,397","327,463,451","899,954",0
You Belong With Me,Taylor Swift,1,1/1/2008,"643,828,366","428,418,832","3,063,470",0
Fiel,Los Legendarios,,2/4/2021,"642,558,596","2,853,555,921","2,242,149",0
Black Magic,Little Mix,,5/21/2015,"642,037,328","290,754,721","2,332,701",0
Tacones Rojos,Sebastian Yatra,,10/22/2021,"641,756,842","855,230,861","2,934,783",0
Little Dark Age,MGMT,,10/17/2017,"641,453,269","2,500,579,993","5,504,564",0
all the good girls go to hell,Billie Eilish,1,3/29/2019,"640,099,263","204,727,914","1,434,669",0
brutal,Olivia Rodrigo,,5/21/2021,"639,900,946","774,173,668","820,892",1
Boyfriend,Dove Cameron,,2/11/2022,"637,836,235","1,955,825,500","2,178,227",1
Trance (with Travis Scott & Young Thug),Metro Boomin,,12/2/2022,"637,325,281","58,477,615","3,359,877",1
Black And Yellow,Wiz Khalifa,,9/14/2010,"636,986,949","5,188,475","2,807,300",1
Bad At Love,Halsey,,6/2/2017,"635,393,773","84,632,348","4,213,886",0
Envolver,Anitta,,11/11/2021,"635,241,142","9,427,647,770","2,534,489",0
Can We Kiss Forever?,Kina,,8/31/2018,"634,493,511","6,459,413,096","8,659,169",0
breathin,Ariana Grande,1,8/17/2018,"633,631,183","118,002,159","36,891",1
This City,Sam Fischer,,1/19/2018,"633,467,655","1,120,361,528","1,565,404",0
DNA,BTS,0,9/18/2017,"632,727,904","537,359,844","1,075,755",0
People,Libianca,,12/5/2022,"631,955,547","3,233,505,931","6,121,126",1
One Right Now (with The Weeknd),Post Malone,,11/5/2021,"631,789,333","181,078,488","2,041,348",1
Miss You,Oliver Tree,,8/5/2022,"631,378,937","5,776,425,361","7,602,822",1
A Mï¿,Rels B,,2/21/2019,"631,152,992","353,157,722","1,136,830",0
Takeaway,The Chainsmokers,,7/24/2019,"630,875,899","45,789,592","2,215,820",0
10 Freaky Girls (with 21 Savage),Metro Boomin,,11/2/2018,"630,863,087","9,867,664","1,411,636",1
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,,8/24/2023,"630,373,315","586,454,750","1,673,932",0
Midnight Sky,Miley Cyrus,,8/14/2020,"629,372,240","286,126,363","4,783,852",0
AMARGURA,KAROL G,,2/24/2023,"629,102,459","404,330,162","1,252,595",1
Good as Hell,Lizzo,,3/9/2016,"627,625,151","1,187,485,509","5,017,737",0
Hecha Pa' Mi,Boza,,7/31/2020,"627,556,563","829,202,200","1,608,693",0
Love Me Again,V,,8/11/2023,"626,153,696","335,526,234","377,532",0
Ferrari,James Hype,,3/15/2022,"626,010,147","368,044,894","6,257,313",0
Girls Need Love (with Drake) - Remix,Summer Walker,,10/19/2018,"625,999,943","415,561,032","3,138,768",1
Ocean Drive,Duke Dumont,,7/31/2015,"624,262,344","61,873,397","13,112,923",0
METAMORPHOSIS,INTERWORLD,,11/25/2021,"624,007,138","2,052,187,356","2,577,920",1
Tattoo - Remix with Camilo,Rauw Alejandro,,7/9/2020,"623,875,921","550,568,367","1,587,660",0
OTW,Khalid,,4/20/2018,"623,201,391","10,583,591","2,434,197",1
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,,9/6/2019,"622,690,472","17,207,972","2,184,126",0
Take Care,Drake,0,11/15/2011,"622,498,643","82,945,578","5,506,262",1
SOLO,JENNIE,,11/12/2018,"622,229,689","1,166,486,496","1,499,180",0
Die A Happy Man,Thomas Rhett,,1/1/2015,"622,198,235","18,928,214","2,864,850",0
Cuando Nadie Ve,Morat,,6/8/2018,"621,596,476","84,607,917","1,406,798",0
do re mi,blackbear,,3/18/2017,"619,655,619","42,240,263","2,220,972",1
Vivir Mi Vida,Marc Anthony,,7/23/2013,"618,671,056","302,300,755","4,858,889",0
NEW MAGIC WAND,"Tyler, The Creator",,5/17/2019,"617,991,511","661,984,472","1,512,216",1
Here,Alessia Cara,,4/30/2015,"616,445,374","166,158,568","7,438,678",0
Leave a Light On,Tom Walker,,10/13/2017,"616,379,687","205,457,689","13,625,815",0
Glock In My Lap,21 Savage,,10/2/2020,"614,603,953","162,296,330","2,194,666",1
Ditto,NewJeans,,12/19/2022,"614,497,357","1,587,051,148","714,871",0
HP,Maluma,,3/1/2019,"614,313,540","48,469,382","1,887,065",1
NO,Meghan Trainor,,3/4/2016,"614,050,155","3,071,891,173","8,410,179",0
Vente Pa' Ca,Ricky Martin,,9/22/2016,"613,961,293","416,104,248","4,173,066",0
La Gozadera,Gente De Zona,,11/20/2011,"613,120,952","266,381,642","4,595,901",0
Rasputin,Majestic,,2/26/2021,"613,000,788","1,560,809","3,038,650",0
Mount Everest,Labrinth,,6/21/2019,"612,159,812","3,490,816,416","4,948,372",1
No Time To Die,Billie Eilish,1,2/13/2020,"610,838,644","69,072,143","3,110,101",0
Chasin' You,Morgan Wallen,,4/27/2018,"609,984,789","142,412,314","1,494,580",0
Meet Me At Our Spot,THE ANXIETY,,3/13/2020,"609,716,786","1,195,714,328","3,251,229",1
Come and See Me (feat. Drake),PARTYNEXTDOOR,,3/23/2016,"609,032,900","38,686,929","2,529,532",1
Rojo,J Balvin,,2/27/2020,"606,603,985","118,448,922","1,148,458",0
"Alone, Pt. II",Alan Walker,,12/27/2019,"606,284,550","967,965,294","5,281,784",0
LUNA,Feid,,12/1/2023,"606,124,553","29,601,244","1,704,574",0
Monster (Shawn Mendes &amp; Justin Bieber),Shawn Mendes,,11/20/2020,"606,018,960","177,089,056","2,455,342",0
Get Into It (Yuh),Doja Cat,,6/25/2021,"603,196,133","7,709,942,104","2,436,551",1
La player (Bandolera),Zion & Lennox,,2/23/2018,"603,009,543","33,166,882","1,628,610",0
Bad (feat. Vassy) - Radio Edit,Showtek,,1/1/2014,"602,359,731","95,570,279","8,703,879",0
Bad Blood,Taylor Swift,1,1/1/2014,"602,316,735","998,836,191","3,046,517",0
i like the way you kiss me,Artemas,,3/19/2024,"601,309,283","3,369,120,610","5,285,340",0
CAN'T SAY,Travis Scott,,8/3/2018,"601,202,311","75,889,595","1,084,361",1
Put Your Records On,Ritt Momney,,4/24/2020,"600,521,313","79,947,183","2,448,945",0
Sobrio,Maluma,,7/8/2021,"600,199,930","254,681,143","1,823,474",0
PUNTO G,Quevedo,,11/4/2022,"600,073,400","450,971,538","529,802",0
Ain't Shit,Doja Cat,,6/25/2021,"599,547,543","557,527,051","1,075,422",1
Slippery (feat. Gucci Mane),Migos,,1/27/2017,"599,318,070","48,083,562","2,694,476",1
"Ay, DiOs Mï¿½ï",KAROL G,,7/10/2020,"599,215,039","779,241,131","1,362,793",0
Corazï¿½,Maluma,,11/3/2017,"598,040,653","44,176,203","3,689,896",0
Primera Cita,Carin Leon,,4/20/2023,"598,006,591","1,108,602,382","2,336,296",0
Notion,The Rare Occasions,,8/5/2016,"597,718,233","1,985,146,213","3,504,438",0
Young,Vacations,,12/9/2016,"597,591,280","1,487,039,791","1,723,404",0
King's Dead (with Kendrick Lamar & Future),Jay Rock,,1/12/2018,"597,167,984","1,101,118,641","2,571,189",1
Cï¿½ï¿½,Rauw Alejandro,,6/25/2021,"596,905,923","1,408,309,850","1,086,469",1
Darkside,Alan Walker,,7/27/2018,"596,469,106","127,865,814","2,538,154",0
Love Nwantiti - Remix,Dj Yo!,,8/30/2019,"596,326,288","928,083","15,793,119",0
Can I Call You Tonight?,Dayglow,,1/26/2018,"596,164,214","155,192,084","2,303,064",0
Sundress,A$AP Rocky,,11/20/2018,"595,930,584","37,094,174","903,716",1
Legends Never Die,League of Legends,,9/15/2017,"595,564,275","304,569,731","1,393,802",0
Wonder,Shawn Mendes,,10/2/2020,"595,220,757","783,096,025","1,620,195",0
Pain,PinkPantheress,,2/5/2021,"595,213,841","640,679,729","719,198",1
As If It's Your Last,BLACKPINK,,6/22/2017,"594,775,179","716,217,499","1,387,663",0
Tutu,Camilo,,8/9/2019,"594,224,324","140,587,874","1,100,391",0
I.F.L.Y.,Bazzi,,7/18/2019,"593,718,503","728,210,556","1,246,464",1
Light Switch,Charlie Puth,,1/19/2022,"593,554,969","4,729,678,365","2,231,820",0
La Corriente,Bad Bunny,1,5/6/2022,"591,704,263","266,064,027","977,339",1
MotorSport,Migos,,10/27/2017,"590,983,645","417,482,479","3,894,893",1
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,,1/12/2018,"589,832,336","118,952,804","1,800,184",0
Mary On A Cross,Ghost,,9/13/2019,"589,145,587","569,986,027","3,769,063",0
ýýýýýýýýýýýýýýý,YOASOBI,,12/15/2019,"588,095,934","613,017,696","1,740,273",0
Cuando Te Besï¿,Becky G,,8/2/2018,"588,021,470","58,539,891","1,621,041",0
Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,,10/25/2018,"587,673,746","15,353,974","3,904,200",1
"You're On Your Own, Kid",Taylor Swift,1,10/21/2022,"587,555,589","342,958,656","364,310",0
Instant Crush (feat. Julian Casablancas),Daft Punk,,5/17/2013,"587,054,803","82,939,552","7,241,562",0
Una Locura,Ozuna,,9/4/2020,"584,776,407","53,047,506","1,497,732",0
Calm Down,Rema,,2/10/2022,"584,427,088","18,216,656,774","22,563,407",0
Besos En Guerra,Morat,,11/3/2017,"584,357,975","56,940,681","1,326,169",0
No Type,Rae Sremmurd,,9/16/2014,"584,277,301","510,652,592","4,334,574",1
El Amante,Nicky Jam,,1/1/2017,"583,299,836","107,045,562","5,312,033",0
Fuentes de Ortiz,Ed Maverick,,3/2/2018,"583,209,382","187,698,778","1,385,244",1
The Search,NF,,5/30/2019,"582,823,215","394,839,659","3,986,033",0
Sigues Con El,Dï¿½ï¿½melo ,,12/13/2019,"582,595,821","121,455,982","1,294,402",0
Lie,NF,,10/6/2017,"582,549,538","93,392,003","2,288,366",0
No Se Va,Grupo Frontera,,4/28/2022,"582,023,797","805,988,782","1,946,266",0
X (feat. Future),21 Savage,,7/15/2016,"581,220,786","98,210","1,739,069",1
No Es Justo,J Balvin,,5/11/2018,"580,941,059","19,928,111","1,613,752",0
Money,Cardi B,,10/23/2018,"580,625,472","1,855,716,339","24,631",1
El Efecto,Rauw Alejandro,,3/15/2019,"580,054,244","404,797,553","2,734,291",0
Reloj,Rauw Alejandro,,10/22/2020,"579,749,218","1,294,351,127","1,542,421",1
Dembow,Danny Ocean,,12/8/2017,"579,189,526","158,504,854","1,619,550",0
Dembow,Danny Ocean,,12/8/2017,"579,189,526","158,504,854","1,619,550",0
Car's Outside,James Arthur,,10/18/2019,"578,464,780","3,957,426,996","2,697,578",0
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,,7/20/2020,"578,061,816","259,813,719","2,481,910",1
Ice Cream (with Selena Gomez),BLACKPINK,,8/28/2020,"574,505,748","1,928,057,718","1,430,212",0
EL MAKINON,KAROL G,,3/24/2021,"574,357,002","627,030,538","1,161,001",0
Dancing With Your Ghost,Sasha Alex Sloan,,6/28/2019,"573,785,235","1,230,812,968","2,472,211",0
3D (feat. Jack Harlow),Jung Kook,,9/29/2023,"573,249,007","66,859,275","1,379,108",1
"Yo x Ti, Tu x Mi",ROSALï¿½,,8/15/2019,"572,697,124","125,501,807","2,065,994",0
She Got the Best of Me,Luke Combs,,6/1/2018,"572,628,080","45,145,253","1,096,110",0
TV,Billie Eilish,1,7/21/2022,"572,602,278","104,843,270","1,521,109",0
Suicidal,YNW Melly,,11/22/2019,"572,441,305","1,659,032,393","2,287,665",1
Chained To The Rhythm,Katy Perry,,2/10/2017,"571,538,542","68,206,300","8,340,225",0
Best Friend (feat. Doja Cat),Saweetie,,1/7/2021,"571,532,926","2,362,426,981","2,977,469",1
AM Remix,Nio Garcia,,6/24/2021,"571,325,612","20,390","833,419",1
Faucet Failure,Ski Mask The Slump God,,11/30/2018,"571,258,899","142,353,962","1,096,452",1
So Am I,Ava Max,,3/7/2019,"570,045,987","218,968,895","4,651,739",0
What They Want,Russ,,7/28/2016,"569,767,392","1,026,583,434","3,181,996",1
Fin de Semana,Oscar Maydon,,1/13/2023,"568,846,143","19,351,144","896,673",0
Vida de Rico,Camilo,,9/21/2020,"568,823,269","835,046,287","1,819,660",0
I'm an Albatraoz,AronChupa,,11/20/2011,"568,692,309","431,870,913","13,205,767",1
Life Goes On,Oliver Tree,,7/17/2020,"568,230,113","11,938,256,726","4,910,428",0
Run,OneRepublic,,5/5/2021,"567,806,129","228,981,445","1,975,100",0
Walk Em Down (feat. Roddy Ricch),NLE Choppa,,3/19/2020,"565,296,902","244,428,689","1,233,851",1
Una Vez,Bad Bunny,1,2/29/2020,"563,826,995","44,061,028","1,171,863",1
Dueles,Jesse & Joy,,12/4/2015,"563,467,499","490,277,819","1,934,884",0
Blood Sweat & Tears,BTS,0,2/13/2017,"563,366,391","247,725,561","1,045,304",0
Baila Baila Baila,Ozuna,,1/5/2019,"563,326,343","13,221,298","2,360,573",0
Eres Mï¿½,Romeo Santos,,2/25/2014,"562,983,225","314,778,494","3,343,573",0
Oh My God,Adele,,11/19/2021,"562,200,390","324,045,421","3,418,829",0
Bebe Dame,Fuerza Regida,,12/16/2022,"562,099,076","1,746,059,702","2,289,240",0
Lovesick Girls,BLACKPINK,,10/2/2020,"561,712,007","694,367,550","977,988",0
Nobody Gets Me,SZA,0,12/9/2022,"561,645,790","220,878,489","1,208,187",1
Alone,Marshmello,,5/13/2016,"561,103,984","462,245,126","3,223,632",0
La Nota,Manuel Turizo,,10/8/2020,"560,949,285","576,560,432","1,440,068",0
In Case You Didn't Know,Brett Young,,1/1/2016,"560,774,282","216,533,242","3,920,740",0
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,,7/3/2020,"560,691,819","79,349,687","1,879,880",1
Way 2 Sexy (with Future & Young Thug),Drake,0,9/3/2021,"559,759,920","2,410,691,959","2,092,908",1
Safari,J Balvin,,6/3/2016,"559,708,419","148,552,468","5,773,120",0
CHORRITO PA LAS ANIMAS,Feid,,12/2/2022,"558,560,568","1,339,213,086","815,675",1
You should be sad,Halsey,,11/8/2019,"557,921,212","41,811,499","2,538,528",1
Only,Nicki Minaj,,10/28/2014,"557,775,679","184,569,148","4,162,674",1
Clouded,Brent Faiyaz,,2/7/2020,"556,176,640","203,313,460","478,489",1
Tyler Herro,Jack Harlow,,10/22/2020,"555,631,717","148,481,502","1,141,637",1
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,,5/6/2022,"553,783,547","2,994,040,421","3,470,453",1
Righteous,Juice WRLD,,4/24/2020,"553,627,198","43,552,260","672,702",1
Beer Never Broke My Heart,Luke Combs,,5/8/2019,"553,360,461","145,930,628","1,108,981",0
HOLIDAY,Lil Nas X,,11/13/2020,"551,719,564","1,449,949,822","1,571,647",1
You're Welcome,Dwayne Johnson,,11/18/2016,"551,115,166","392,249,223","884,422",0
Thunder,Gabry Ponte,,5/7/2021,"551,090,518","361,365","3,084,343",0
Please Me,Cardi B,,2/15/2019,"551,035,247","244,717,002","2,677,590",1
Verte Ir,DJ Luian,,3/28/2019,"550,967,367","20,847,094","1,353,531",0
Kill Em With Kindness,Selena Gomez,,10/9/2015,"550,049,388","489,745,782","2,766,042",0
Invincible,Pop Smoke,,2/7/2020,"549,824,221","2,215,721,495","1,680,361",1
Super Freaky Girl,Nicki Minaj,,8/12/2022,"549,382,975","5,107,877,505","2,630,957",1
Surround Sound (feat. 21 Savage & Baby Tate),JID,,1/14/2022,"548,724,288","813,374,956","5,341,857",1
Heartless (feat. Morgan Wallen),Diplo,,8/16/2019,"548,333,714","256,819,834","952,624",1
Espresso,Sabrina Carpenter,,4/12/2024,"547,882,871","1,379,499,000","1,373,085",1
Te Robarï¿,Nicky Jam,,3/22/2019,"547,483,874","5,221,834","2,115,863",0
Super Shy,NewJeans,,7/7/2023,"547,471,596","1,998,080,214","528,849",0
River,Bishop Briggs,,1/22/2016,"547,304,707","4,144,883,692","4,876,569",0
Turn Down for What,DJ Snake,,12/18/2013,"547,207,250","1,943,093,911","14,799,660",0
Belly Dancer,Imanbek,,2/18/2022,"547,114,702","367,187,204","3,826,486",0
No Hay Nadie Mï¿½,Sebastian Yatra,,1/26/2018,"546,219,103","222,363,120","24,199",0
El Gordo Trae El Mando,Chino Pacas,,1/27/2023,"545,234,876","1,417,345,345","1,226,973",1
One Thing Right,Marshmello,,6/21/2019,"545,011,148","170,167,441","3,044,970",0
Sï¿½ï¿½guelo Bail,Ozuna,,8/25/2017,"544,755,640","174,267,433","2,212,531",0
GREECE (feat. Drake),DJ Khaled,,7/16/2020,"544,564,903","482,158,138","2,427,675",1
Rara Vez,Taiu,,2/8/2023,"544,165,928","1,522,432,243","943,365",0
